"cell","true_cluster","estimated_cluster"
"Cell_395",2,5
"Cell_396",2,5
"Cell_397",3,1
"Cell_398",4,4
"Cell_399",5,2
"Cell_400",1,3
"Cell_401",3,1
"Cell_402",5,2
"Cell_403",1,3
"Cell_404",5,2
"Cell_405",4,4
"Cell_406",4,4
"Cell_407",4,4
"Cell_408",5,2
"Cell_409",5,2
"Cell_410",2,5
"Cell_411",2,5
"Cell_412",5,2
"Cell_413",3,1
"Cell_414",4,4
"Cell_415",4,2
"Cell_416",5,2
"Cell_417",1,3
"Cell_418",4,4
"Cell_419",3,1
"Cell_420",2,5
"Cell_421",1,3
"Cell_422",4,4
"Cell_423",5,2
"Cell_424",4,4
"Cell_425",4,4
"Cell_426",1,3
"Cell_427",3,1
"Cell_428",1,3
"Cell_429",1,3
"Cell_430",1,3
"Cell_431",3,1
"Cell_432",3,1
"Cell_433",4,4
"Cell_434",3,1
"Cell_435",3,1
"Cell_436",1,3
"Cell_437",5,2
"Cell_438",4,4
"Cell_439",1,3
"Cell_440",2,5
"Cell_441",2,5
"Cell_442",3,1
"Cell_443",1,3
"Cell_444",1,3
"Cell_445",5,2
"Cell_446",4,4
"Cell_447",1,3
"Cell_448",5,2
"Cell_449",2,5
"Cell_450",5,2
"Cell_451",4,4
"Cell_452",5,2
"Cell_453",3,1
"Cell_454",4,4
"Cell_455",2,5
"Cell_456",4,4
"Cell_457",4,4
"Cell_458",5,2
"Cell_459",1,3
"Cell_460",4,4
"Cell_461",5,2
"Cell_462",5,2
"Cell_463",5,2
"Cell_464",3,1
"Cell_465",2,5
"Cell_466",4,4
"Cell_467",2,5
"Cell_468",3,1
"Cell_469",1,3
"Cell_470",1,3
"Cell_471",2,5
"Cell_472",1,3
"Cell_473",5,2
"Cell_474",3,1
"Cell_475",4,4
"Cell_476",5,2
"Cell_477",5,2
"Cell_478",5,2
"Cell_479",5,2
"Cell_480",5,2
"Cell_481",5,2
"Cell_482",5,2
"Cell_483",2,5
"Cell_484",2,5
"Cell_485",4,4
"Cell_486",3,1
"Cell_487",2,5
"Cell_488",1,3
"Cell_489",5,2
"Cell_490",1,3
"Cell_491",2,1
"Cell_492",2,5
"Cell_493",1,3
"Cell_494",1,3
"Cell_495",5,2
"Cell_496",1,3
"Cell_497",5,2
"Cell_498",3,1
"Cell_499",5,2
"Cell_500",5,2
"Cell_501",5,2
"Cell_502",1,3
"Cell_503",2,5
"Cell_504",5,2
"Cell_505",3,1
"Cell_506",5,2
"Cell_507",4,4
"Cell_508",4,4
"Cell_509",3,1
"Cell_510",2,5
"Cell_511",5,2
"Cell_512",3,1
"Cell_513",4,4
"Cell_514",4,4
"Cell_515",2,5
"Cell_516",1,3
"Cell_517",4,4
"Cell_518",1,3
"Cell_519",4,4
"Cell_520",2,5
"Cell_521",3,1
"Cell_522",5,2
"Cell_523",2,5
"Cell_524",1,3
"Cell_525",3,1
"Cell_526",2,5
"Cell_527",4,4
"Cell_528",5,2
"Cell_529",5,2
"Cell_530",5,2
"Cell_531",4,4
"Cell_532",3,1
"Cell_533",3,1
"Cell_534",2,5
"Cell_535",4,4
"Cell_536",5,2
"Cell_537",3,1
"Cell_538",4,2
"Cell_539",4,2
"Cell_540",5,2
"Cell_541",2,5
"Cell_542",3,1
"Cell_543",1,3
"Cell_544",1,3
"Cell_545",3,2
"Cell_546",3,1
"Cell_547",4,2
"Cell_548",3,1
"Cell_549",4,4
"Cell_550",2,5
"Cell_551",1,3
"Cell_552",1,3
"Cell_553",5,2
"Cell_554",3,1
"Cell_555",4,4
"Cell_556",4,4
"Cell_557",1,3
"Cell_558",4,4
"Cell_559",5,2
"Cell_560",4,4
"Cell_561",5,2
"Cell_562",4,4
"Cell_563",5,2
"Cell_564",3,1
"Cell_565",2,5
"Cell_566",2,5
"Cell_567",5,2
"Cell_568",5,2
"Cell_569",1,3
"Cell_570",3,1
"Cell_571",1,3
"Cell_572",1,3
"Cell_573",2,5
"Cell_574",3,1
"Cell_575",3,1
"Cell_576",4,4
"Cell_577",2,5
"Cell_578",4,4
"Cell_579",4,4
"Cell_580",1,3
"Cell_581",1,3
"Cell_582",5,2
"Cell_583",5,2
"Cell_584",1,3
"Cell_585",3,1
"Cell_586",3,1
"Cell_587",1,3
"Cell_588",3,1
"Cell_589",5,4
"Cell_590",3,1
"Cell_591",3,1
"Cell_592",3,1
"Cell_593",5,2
"Cell_594",3,1
"Cell_595",3,1
"Cell_596",4,4
"Cell_597",4,4
"Cell_598",2,5
"Cell_599",3,1
"Cell_600",3,1
"Cell_601",5,2
"Cell_602",4,4
"Cell_603",1,3
"Cell_604",2,5
"Cell_605",3,1
"Cell_606",2,5
"Cell_607",3,1
"Cell_608",4,4
"Cell_609",2,5
"Cell_610",2,5
"Cell_611",1,3
"Cell_612",2,5
"Cell_613",3,1
"Cell_614",5,2
"Cell_615",1,3
"Cell_616",1,3
"Cell_617",5,2
"Cell_618",3,1
"Cell_619",3,1
"Cell_620",1,3
"Cell_621",2,5
"Cell_622",5,2
"Cell_623",5,2
"Cell_624",3,1
"Cell_625",2,5
"Cell_626",5,2
"Cell_627",2,5
"Cell_628",1,3
"Cell_629",3,1
"Cell_630",2,5
"Cell_631",5,2
"Cell_632",1,3
"Cell_633",2,5
"Cell_634",4,2
"Cell_635",5,2
"Cell_636",5,2
"Cell_637",3,1
"Cell_638",3,1
"Cell_639",2,5
"Cell_640",2,5
"Cell_641",3,1
"Cell_642",1,3
"Cell_643",3,1
"Cell_644",1,3
"Cell_645",2,5
"Cell_646",4,4
"Cell_647",5,2
"Cell_648",2,5
"Cell_649",3,1
"Cell_650",1,3
"Cell_651",3,1
"Cell_652",3,1
"Cell_653",3,1
"Cell_654",4,4
"Cell_655",3,1
"Cell_656",5,2
"Cell_657",1,3
"Cell_658",1,3
"Cell_659",2,5
"Cell_660",3,1
"Cell_661",1,3
"Cell_662",4,4
"Cell_663",1,3
"Cell_664",3,1
"Cell_665",1,3
"Cell_666",4,4
"Cell_667",4,4
"Cell_668",5,2
"Cell_669",3,1
"Cell_670",4,4
"Cell_671",3,1
"Cell_672",2,5
"Cell_673",4,4
"Cell_674",2,5
"Cell_675",3,1
"Cell_676",2,5
"Cell_677",4,4
"Cell_678",2,5
"Cell_679",3,1
"Cell_680",4,4
"Cell_681",4,4
"Cell_682",1,3
"Cell_683",3,1
"Cell_684",1,3
"Cell_685",1,3
"Cell_686",1,3
"Cell_687",3,1
"Cell_688",1,3
"Cell_689",2,5
"Cell_690",1,3
"Cell_691",4,4
"Cell_692",3,1
"Cell_693",4,4
"Cell_694",5,2
"Cell_695",1,3
"Cell_696",2,5
"Cell_697",3,1
"Cell_698",3,1
"Cell_699",2,5
"Cell_700",2,5
"Cell_701",3,1
"Cell_702",4,4
"Cell_703",5,2
"Cell_704",5,2
"Cell_705",4,2
"Cell_706",3,1
"Cell_707",4,4
"Cell_708",5,2
"Cell_709",5,2
"Cell_710",2,5
"Cell_711",5,2
"Cell_712",4,4
"Cell_713",1,3
"Cell_714",1,3
"Cell_715",1,3
"Cell_716",4,2
"Cell_717",4,4
"Cell_718",1,3
"Cell_719",5,2
"Cell_720",1,3
"Cell_721",1,3
"Cell_722",3,1
"Cell_723",5,2
"Cell_724",1,3
"Cell_725",3,1
"Cell_726",3,1
"Cell_727",4,4
"Cell_728",5,2
"Cell_729",4,4
"Cell_730",5,2
"Cell_731",3,1
"Cell_732",3,1
"Cell_733",2,5
"Cell_734",5,2
"Cell_735",2,5
"Cell_736",2,5
"Cell_737",3,1
"Cell_738",1,3
"Cell_739",2,5
"Cell_740",2,5
"Cell_741",3,1
"Cell_742",5,2
"Cell_743",5,2
"Cell_744",4,4
"Cell_745",3,1
"Cell_746",4,4
"Cell_747",4,4
"Cell_748",3,1
"Cell_749",1,3
"Cell_750",2,5
"Cell_751",1,3
"Cell_752",3,1
"Cell_753",4,4
"Cell_754",3,1
"Cell_755",4,4
"Cell_756",1,3
"Cell_757",4,4
"Cell_758",3,2
"Cell_759",3,1
"Cell_760",2,5
"Cell_761",5,2
"Cell_762",1,3
"Cell_763",5,2
"Cell_764",2,5
"Cell_765",4,4
"Cell_766",5,2
"Cell_767",4,4
"Cell_768",2,5
"Cell_769",4,4
"Cell_770",1,3
"Cell_771",5,2
"Cell_772",3,1
"Cell_773",2,5
"Cell_774",3,1
"Cell_775",1,3
"Cell_776",2,5
"Cell_777",2,5
"Cell_778",2,5
"Cell_779",5,2
"Cell_780",2,5
"Cell_781",2,5
"Cell_782",3,1
"Cell_783",2,5
"Cell_784",2,5
"Cell_785",5,2
"Cell_786",1,3
"Cell_787",2,5
"Cell_788",4,4
"Cell_789",5,2
"Cell_790",4,4
"Cell_791",1,3
"Cell_792",3,1
"Cell_793",3,1
"Cell_794",4,4
"Cell_795",3,1
"Cell_796",4,4
"Cell_797",5,4
"Cell_798",3,1
"Cell_799",1,3
"Cell_800",5,2
"Cell_801",3,1
"Cell_802",4,4
"Cell_803",4,4
"Cell_804",5,2
"Cell_805",5,2
"Cell_806",5,2
"Cell_807",1,3
"Cell_808",4,4
"Cell_809",5,2
"Cell_810",4,4
"Cell_811",1,3
"Cell_812",1,3
"Cell_813",5,2
"Cell_814",4,4
"Cell_815",4,4
"Cell_816",2,5
"Cell_817",5,2
"Cell_818",2,5
"Cell_819",5,2
"Cell_820",2,5
"Cell_821",4,4
"Cell_822",3,1
"Cell_823",2,5
"Cell_824",3,1
"Cell_825",3,1
"Cell_826",4,4
"Cell_827",1,3
"Cell_828",4,4
"Cell_829",1,3
"Cell_830",3,1
"Cell_831",5,2
"Cell_832",2,5
"Cell_833",2,5
"Cell_834",1,3
"Cell_835",3,1
"Cell_836",1,3
"Cell_837",3,1
"Cell_838",5,2
"Cell_839",3,1
"Cell_840",3,1
"Cell_841",1,3
"Cell_842",2,5
"Cell_843",3,1
"Cell_844",4,4
"Cell_845",3,1
"Cell_846",1,3
"Cell_847",4,4
"Cell_848",3,1
"Cell_849",4,2
"Cell_850",3,1
"Cell_851",5,2
"Cell_852",3,1
"Cell_853",1,3
"Cell_854",4,4
"Cell_855",5,2
"Cell_856",2,5
"Cell_857",1,3
"Cell_858",3,1
"Cell_859",5,2
"Cell_860",5,2
"Cell_861",1,3
"Cell_862",1,3
"Cell_863",1,3
"Cell_864",3,1
"Cell_865",4,4
"Cell_866",5,2
"Cell_867",1,3
"Cell_868",3,5
"Cell_869",2,5
"Cell_870",5,2
"Cell_871",4,4
"Cell_872",1,3
"Cell_873",5,2
"Cell_874",1,3
"Cell_875",2,5
"Cell_876",4,4
"Cell_877",5,2
"Cell_878",1,3
"Cell_879",5,2
"Cell_880",1,3
"Cell_881",4,4
"Cell_882",4,4
"Cell_883",3,1
"Cell_884",1,3
"Cell_885",4,4
"Cell_886",3,1
"Cell_887",2,5
"Cell_888",3,1
"Cell_889",3,1
"Cell_890",1,3
"Cell_891",5,2
"Cell_892",5,2
"Cell_893",5,2
"Cell_894",2,5
"Cell_895",2,5
"Cell_896",3,1
"Cell_897",3,1
"Cell_898",3,1
"Cell_899",5,2
"Cell_900",2,5
"Cell_901",4,4
"Cell_902",5,2
"Cell_903",3,1
"Cell_904",2,5
"Cell_905",2,5
"Cell_906",1,3
"Cell_907",3,1
"Cell_908",5,2
"Cell_909",3,1
"Cell_910",4,4
"Cell_911",2,5
"Cell_912",1,3
"Cell_913",2,5
"Cell_914",3,1
"Cell_915",5,2
"Cell_916",5,2
"Cell_917",4,4
"Cell_918",5,2
"Cell_919",2,5
"Cell_920",4,4
"Cell_921",3,1
"Cell_922",4,4
"Cell_923",5,2
"Cell_924",2,5
"Cell_925",5,2
"Cell_926",2,5
"Cell_927",1,3
"Cell_928",2,5
"Cell_929",5,2
"Cell_930",4,4
"Cell_931",1,3
"Cell_932",5,2
"Cell_933",5,2
"Cell_934",3,1
"Cell_935",1,3
"Cell_936",4,4
"Cell_937",3,1
"Cell_938",2,5
"Cell_939",4,4
"Cell_940",4,4
"Cell_941",4,4
"Cell_942",5,2
"Cell_943",2,5
"Cell_944",4,4
"Cell_945",4,4
"Cell_946",5,2
"Cell_947",3,1
"Cell_948",5,2
"Cell_949",1,3
"Cell_950",3,1
"Cell_951",5,2
"Cell_952",5,2
"Cell_953",1,3
"Cell_954",3,1
"Cell_955",2,5
"Cell_956",5,2
"Cell_957",5,2
"Cell_958",5,2
"Cell_959",1,3
"Cell_960",2,5
"Cell_961",4,4
"Cell_962",1,3
"Cell_963",5,2
"Cell_964",1,3
"Cell_965",5,2
"Cell_966",3,1
"Cell_967",2,5
"Cell_968",2,5
"Cell_969",3,1
"Cell_970",2,5
"Cell_971",1,3
"Cell_972",1,3
"Cell_973",4,4
"Cell_974",1,3
"Cell_975",1,3
"Cell_976",4,4
"Cell_977",1,3
"Cell_978",1,3
"Cell_979",4,4
"Cell_980",5,2
"Cell_981",1,3
"Cell_982",4,4
"Cell_983",3,1
"Cell_984",4,4
"Cell_985",2,5
"Cell_986",1,3
"Cell_987",2,5
"Cell_988",3,1
"Cell_989",1,3
"Cell_990",2,5
"Cell_991",5,2
"Cell_992",1,3
"Cell_993",1,3
"Cell_994",5,2
"Cell_995",1,3
"Cell_996",5,2
"Cell_997",3,1
"Cell_998",1,3
"Cell_999",4,4
"Cell_1000",2,5
